RegionID,SizeRank,RegionName,RegionType,State,City,Metro,CountyName,10_31_2023,11_30_2023,12_31_2023,1_31_2024,March292024
70989,2944,30260,zip,GA,Morrow,"Atlanta-Sandy Springs-Alpharetta, GA",Clayton County,226677.3557,226768.8108,226698.3323,227178.309,228318
71181,2978,30534,zip,GA,Dawsonville,"Atlanta-Sandy Springs-Alpharetta, GA",Dawson County,402398.8451,405172.1861,407268.6524,409175.37,411223
70848,3038,30068,zip,GA,Marietta,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,649122.8134,650978.9938,652802.5028,653878.4689,656710
71716,3083,31904,zip,GA,Columbus,"Columbus, GA-AL",Muscogee County,185747.9121,186895.7698,187520.9842,187679.081,187950
71509,3149,31324,zip,GA,Richmond Hill,"Savannah, GA",Bryan County,395842.7921,398030.1555,400027.1766,401839.9016,404128
71060,3202,30342,zip,GA,Sandy Springs,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,921382.8828,927327.9042,931083.1142,932406.2401,934197
70799,3217,30012,zip,GA,Conyers,"Atlanta-Sandy Springs-Alpharetta, GA",Rockdale County,265452.8444,265615.9156,265517.0259,265737.1056,266549
71589,3312,31601,zip,GA,Valdosta,"Valdosta, GA",Lowndes County,99232.15237,99120.92279,99530.96121,100086.2287,100888
71031,3316,30311,zip,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,263384.4457,263226.8559,263104.1114,263962.4096,265430
70980,3321,30248,zip,GA,Locust Grove,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County,336294.758,335981.4971,335372.1053,334586.9926,334300
71154,3343,30501,zip,GA,Gainesville,"Gainesville, GA",Hall County,293044.5115,293973.0436,294619.7007,295591.5897,297295
71059,3362,30341,zip,GA,Chamblee,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,524826.7242,528227.5043,531024.5565,532996.7125,535458
70813,3427,30028,zip,GA,Cumming,"Atlanta-Sandy Springs-Alpharetta, GA",Forsyth County,516960.5974,520376.3062,523653.1471,526923.9334,530276
71057,3472,30339,zip,GA,Vinings,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,572598.4095,574064.8608,574554.5459,575274.5302,576743
70818,3499,30033,zip,GA,Decatur,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,502138.3786,505510.5365,507757.6792,508639.7942,509930
